Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),"On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",What is your favorite coffee drink?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
GrYYvz,45-54 years old,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,Regular drip coffee,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,Chocolatey,Medium,Medium,Full caffeine,4.0,2.0,4.0,3.0,1.0,2.0,5.0,4.0,3.0,4.0,1.0,2.0,4.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$80-$100,1,1,1,0,0,Yes,No,$8-$10,$15-$20,Yes,$500-$1000,Yes,Female,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,1,
jB5Ne4,25-34 years old,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Latte,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Medium,Medium,Full caffeine,7.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,1,1,1,0,0,Yes,Yes,$6-$8,$6-$8,Yes,$100-$300,Yes,Male,Master's degree,White/Caucasian,,Employed full-time,,Democrat
5d8Rbo,25-34 years old,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,Bright,Somewhat strong,Medium,Full caffeine,5.0,4.0,2.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,1,1,1,1,0,Yes,Yes,$6-$8,$8-$10,Yes,$500-$1000,Yes,Female,Master's degree,White/Caucasian,,Employed full-time,,Democrat
7d1GbZ,25-34 years old,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chocolatey,Medium,Medium,Half caff,6.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,Coffee C,Coffee D,Coffee C,I primarily work in person,$40-$60,1,1,1,0,0,Yes,Yes,$10-$15,$15-$20,No,$500-$1000,Yes,,,,,,,No affiliation
OAdOL8,25-34 years old,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Cappuccino,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Floral,Somewhat strong,Light,Full caffeine,9.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,1,1,1,0,0,Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat
blK0G0,35-44 years old,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Full Bodied,Very strong,Medium,Full caffeine,6.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,2.0,4.0,3.0,4.0,Coffee A,Coffee D,Coffee B,I primarily work from home,$80-$100,1,1,0,0,0,Yes,Yes,$15-$20,More than $20,No,,,,,,,,,
xd4kxy,25-34 years old,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bright,Somewhat strong,Light,Full caffeine,4.0,3.0,4.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,5.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,1,1,1,0,0,Yes,Yes,$6-$8,$6-$8,No,$500-$1000,Yes,Male,Doctorate or professional degree,Asian/Pacific Islander,,Student,,Independent
g5YRyl,25-34 years old,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,Juicy,Medium,Light,Full caffeine,7.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,1,1,1,0,0,Yes,Yes,$6-$8,$8-$10,No,"More than $1,000",Yes,Male,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat
Xe1KVj,25-34 years old,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bright,Medium,Light,Full caffeine,6.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,1,1,1,0,0,Yes,Yes,$8-$10,$8-$10,No,$300-$500,Yes,Female,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat
VZvREv,18-24 years old,2,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,Espresso,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Very strong,Light,Full caffeine,3.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,1,0,1,0,0,Yes,No,$8-$10,$8-$10,No,$20-$50,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
zK2p0M,25-34 years old,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,Latte,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Fruity,Somewhat light,Light,Full caffeine,8.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,1,1,1,1,0,Yes,Yes,,$10-$15,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,1,Democrat
J2XaDr,25-34 years old,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,5.0,4.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee C,I do a mix of both,$80-$100,1,1,1,0,0,Yes,Yes,$6-$8,$8-$10,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation
pLRj4B,55-64 years old,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chocolatey,Somewhat strong,Blonde,Full caffeine,7.0,3.0,2.0,4.0,3.0,1.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,Coffee B,Coffee A,Coffee B,I primarily work in person,$20-$40,1,1,0,0,0,Yes,Yes,$6-$8,$2-$4,No,$100-$300,Yes,Male,Doctorate or professional degree,White/Caucasian,,Employed full-time,3,Republican
VZvRWl,25-34 years old,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,Latte,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bright,Medium,Medium,Full caffeine,5.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$60-$80,1,1,1,1,0,Yes,Yes,$8-$10,$8-$10,Yes,"More than $1,000",Yes,Female,Bachelor's degree,White/Caucasian,,Employed part-time,1,Democrat
blY5eZ,25-34 years old,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bright,Somewhat strong,Medium,Full caffeine,7.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,1,1,1,0,0,Yes,Yes,$8-$10,$15-$20,Yes,$300-$500,Yes,Male,Bachelor's degree,Hispanic/Latino,,Employed full-time,,No affiliation
lNYaNN,25-34 years old,3,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,Espresso,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Caramalized,Somewhat strong,Medium,Full caffeine,8.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,5.0,1.0,4.0,4.0,Coffee C,Coffee D,Coffee C,I primarily work from home,$40-$60,1,1,0,0,0,Yes,Yes,$10-$15,$15-$20,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation
WAKOvP,18-24 years old,Less than 1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Latte,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,Floral,Medium,Light,Full caffeine,7.0,2.0,4.0,5.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work in person,<$20,1,1,0,0,0,Yes,No,$8-$10,$8-$10,Yes,Less than $20,Yes,Female,Some college or associate's degree,Other (please specify),Asian and white,Student,,No affiliation
8d6Nxl,25-34 years old,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,Iced coffee,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,Full Bodied,Somewhat strong,Medium,Full caffeine,8.0,2.0,5.0,5.0,4.0,2.0,4.0,5.0,2.0,2.0,1.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,1,0,1,0,0,Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Female,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation
jBJeBJ,25-34 years old,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,Cappuccino,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,Chocolatey,Medium,Dark,Half caff,1.0,2.0,3.0,3.0,3.0,5.0,1.0,3.0,2.0,4.0,4.0,3.0,2.0,Coffee C,Coffee A,Coffee C,I do a mix of both,,1,1,1,1,0,Yes,No,$8-$10,,,,,,,,,,,
QAz1z7,25-34 years old,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Latte,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Chocolatey,Medium,Medium,Full caffeine,4.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,Coffee C,Coffee D,Coffee C,I primarily work from home,$20-$40,1,0,1,0,0,Yes,Yes,$8-$10,$10-$15,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
lNYBPN,>65 years old,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,Regular drip coffee,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0,,4.0,2.0,2.0,2.0,Coffee B,Coffee A,Coffee B,,,1,1,1,1,1,,,,,,,,,,,,,,
PAbpo1,25-34 years old,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Cappuccino,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Floral,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,2.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$20-$40,1,1,1,0,0,Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Male,Master's degree,White/Caucasian,,Employed full-time,,Independent
oA5EQ1,25-34 years old,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Regular drip coffee,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,Full Bodied,Medium,Dark,Full caffeine,7.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,2.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work in person,$20-$40,1,1,0,0,0,Yes,No,$6-$8,$4-$6,No,$100-$300,Yes,Male,High school graduate,White/Caucasian,,Employed full-time,,No affiliation
KMW55V,25-34 years old,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Juicy,Medium,Light,Full caffeine,10.0,2.0,5.0,4.0,5.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,1,0,1,0,0,Yes,Yes,,$2-$4,No,$300-$500,Yes,Male,Bachelor's degree,Hispanic/Latino,,Employed full-time,,No affiliation
Zd1Eao,25-34 years old,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Mocha,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,Chocolatey,Medium,Medium,Full caffeine,3.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,0,1,1,0,1,Yes,No,$6-$8,$8-$10,Yes,$20-$50,Yes,Female,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation
VZbQlv,>65 years old,4,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nutty,Medium,Medium,Full caffeine,7.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$80-$100,1,0,0,0,0,Yes,Yes,$6-$8,$10-$15,Yes,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,,Retired,2,No affiliation
rlJOM2,25-34 years old,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Very strong,Light,Full caffeine,6.0,2.0,5.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,5.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,1,1,1,0,0,Yes,Yes,$15-$20,$15-$20,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
NAbX0l,25-34 years old,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Cortado,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Caramalized,Somewhat strong,Medium,Full caffeine,7.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,1,1,1,1,0,Yes,Yes,$8-$10,$15-$20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
DVxplq,25-34 years old,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Floral,Medium,Nordic,Full caffeine,7.0,1.0,5.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,2.0,Coffee B,Coffee A,Coffee D,I do a mix of both,$20-$40,1,0,1,0,0,Yes,Yes,$15-$20,$6-$8,Yes,$300-$500,Yes,Male,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,No affiliation
Xe84rd,25-34 years old,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bold,Somewhat strong,Dark,Full caffeine,3.0,2.0,5.0,4.0,4.0,,5.0,3.0,1.0,2.0,3.0,2.0,2.0,Coffee B,,Coffee B,,,1,1,1,1,1,,,,,,,,,,,,,,
blYW2Z,25-34 years old,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Floral,Medium,Nordic,Full caffeine,7.0,1.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee C,I do a mix of both,$20-$40,1,0,1,0,0,Yes,Yes,$15-$20,$6-$8,Yes,$300-$500,Yes,Male,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,
NAb78l,25-34 years old,2,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,Latte,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Chocolatey,Somewhat strong,Medium,Full caffeine,4.0,1.0,,1.0,3.0,3.0,4.0,4.0,1.0,5.0,2.0,4.0,1.0,Coffee C,,Coffee C,,,1,1,1,1,1,,,,,,,,,,,,,,
oA5285,25-34 years old,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,Cappuccino,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,Chocolatey,Medium,Medium,Full caffeine,4.0,1.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,3.0,2.0,Coffee C,Coffee D,Coffee C,,,1,1,1,1,1,,,,,,,,,,,,,,
eB0aEx,35-44 years old,Less than 1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Cappuccino,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,Sweet,Very strong,Blonde,Full caffeine,3.0,3.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work from home,<$20,1,1,0,0,0,Yes,No,$6-$8,$10-$15,Yes,"More than $1,000",No,Male,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation
vNJP54,35-44 years old,2,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,Cortado,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,5.0,4.0,1.0,Coffee C,Coffee A,Coffee C,I primarily work in person,$20-$40,1,1,0,0,0,Yes,No,$8-$10,$8-$10,No,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Republican
RzbPjj,45-54 years old,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,Americano,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Full Bodied,Medium,Italian,Full caffeine,5.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$60-$80,1,1,1,0,0,Yes,No,$6-$8,$6-$8,Yes,"More than $1,000",Yes,Female,Bachelor's degree,White/Caucasian,,Homemaker,2,Republican
oA5GOM,35-44 years old,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Cold brew,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Sweet,Medium,Dark,Full caffeine,3.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,5.0,5.0,2.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,1,1,0,0,0,Yes,No,$6-$8,$8-$10,Yes,$50-$100,Yes,Female,Master's degree,White/Caucasian,,Employed full-time,1,Democrat
Al4vRB,45-54 years old,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,Americano,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,Full Bodied,Somewhat strong,Italian,Full caffeine,6.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,1.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$80-$100,1,1,1,0,0,Yes,No,$8-$10,$6-$8,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,,Employed full-time,2,Independent
9dRQYG,25-34 years old,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,5.0,2.0,2.0,4.0,3.0,3.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,1,1,1,1,0,Yes,Yes,$15-$20,$15-$20,Yes,$100-$300,Yes,Male,Master's degree,Hispanic/Latino,,Employed full-time,,Democrat
24lNeL,35-44 years old,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,Other,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Nutty,Somewhat strong,Light,Full caffeine,7.0,3.0,5.0,2.0,2.0,1.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,Coffee B,Coffee D,Coffee B,I primarily work in person,$40-$60,1,0,1,0,0,Yes,No,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation
9dRDjY,45-54 years old,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Juicy,Medium,Light,Full caffeine,8.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,5.0,Coffee C,Coffee D,Coffee D,I do a mix of both,$20-$40,1,1,1,0,0,Yes,Yes,$6-$8,$15-$20,Yes,$500-$1000,Yes,Male,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,,Democrat
NAb6Pb,25-34 years old,3,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,Americano,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nutty,Somewhat strong,Light,Full caffeine,6.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$60-$80,1,0,1,0,0,Yes,No,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
dY86Dq,55-64 years old,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Cappuccino,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Full Bodied,Medium,Medium,Full caffeine,5.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$20-$40,1,0,0,0,0,Yes,No,$6-$8,$4-$6,No,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,,
